epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1261.08,0.99858,1.66299,1.35496,0.80685,0.7637,0.84103,0.63321,0.91124,1.68007,1.43769,0.000474235,0.000474235,0.000474235
2,2180.64,0.96768,1.17359,1.31646,0.60932,0.67149,0.59029,0.41089,0.95062,2.25938,1.51274,0.000931747,0.000931747,0.000931747
3,3196.09,0.96301,1.03202,1.31136,0.55326,0.71353,0.6419,0.49956,0.7273,1.87501,1.2548,0.0013704,0.0013704,0.0013704
4,4665.11,0.94507,0.9591,1.30117,0.63966,0.71409,0.73966,0.49517,1.10717,1.33259,1.66556,0.00134412,0.00134412,0.00134412
5,5403.18,0.90594,0.88014,1.27299,0.89118,0.85108,0.91628,0.74763,0.70041,0.72123,1.25079,0.00131582,0.00131582,0.00131582
6,5978.25,0.8706,0.82906,1.24846,0.92249,0.84212,0.90564,0.75876,0.71315,0.71852,1.2574,0.00128753,0.00128753,0.00128753
7,6513.82,0.84742,0.78511,1.23697,0.94503,0.89169,0.9334,0.75844,0.71065,0.60592,1.27135,0.00125923,0.00125923,0.00125923
8,7054.99,0.82499,0.75594,1.2246,0.87617,0.83544,0.92034,0.78683,0.63675,0.74973,1.18623,0.00123094,0.00123094,0.00123094
9,7593.96,0.80552,0.73829,1.2046,0.94872,0.89057,0.94105,0.78398,0.60228,0.54513,1.14248,0.00120265,0.00120265,0.00120265
10,8148.6,0.80593,0.72417,1.20802,0.93364,0.89372,0.92403,0.77214,0.70233,0.61767,1.26127,0.00117435,0.00117435,0.00117435
11,8682.73,0.78273,0.69073,1.19879,0.92959,0.87456,0.91832,0.79283,0.59761,0.6096,1.1125,0.00114606,0.00114606,0.00114606
12,9226.96,0.772,0.66602,1.1879,0.91236,0.89613,0.92686,0.80793,0.56964,0.59704,1.10827,0.00111776,0.00111776,0.00111776
13,9758.64,0.7619,0.6551,1.18957,0.88436,0.84103,0.92055,0.81342,0.55845,0.66227,1.10067,0.00108947,0.00108947,0.00108947
14,10291.6,0.75631,0.63559,1.17557,0.91521,0.89321,0.93643,0.81952,0.58815,0.5741,1.10555,0.00106118,0.00106118,0.00106118
15,10825.3,0.73705,0.62224,1.16224,0.94617,0.90343,0.94001,0.84567,0.52822,0.50311,1.0536,0.00103288,0.00103288,0.00103288
16,11359.8,0.72108,0.62081,1.15948,0.95591,0.89672,0.95397,0.85022,0.50437,0.46672,1.01667,0.00100459,0.00100459,0.00100459
17,11892.4,0.70818,0.58538,1.1522,0.94167,0.89407,0.95403,0.84489,0.54611,0.48916,1.05679,0.000976293,0.000976293,0.000976293
18,12424.6,0.7013,0.58235,1.14242,0.94712,0.90959,0.9487,0.84096,0.52366,0.44502,1.04346,0.000947999,0.000947999,0.000947999
19,12956.2,0.70691,0.58573,1.14007,0.94186,0.89248,0.94717,0.83771,0.54229,0.49221,1.04544,0.000919704,0.000919704,0.000919704
20,13492.9,0.70516,0.57097,1.14656,0.95178,0.8974,0.94158,0.84709,0.49792,0.44903,1.02191,0.00089141,0.00089141,0.00089141
21,14030,0.67106,0.55476,1.12687,0.95885,0.90606,0.94744,0.85699,0.47639,0.46082,1.00482,0.000863116,0.000863116,0.000863116
22,14564.2,0.67704,0.56094,1.13343,0.95648,0.91698,0.95618,0.87016,0.45061,0.42083,0.97686,0.000834822,0.000834822,0.000834822
23,15100.9,0.65902,0.5387,1.12334,0.93041,0.89047,0.94519,0.8531,0.50921,0.52775,1.03699,0.000806528,0.000806528,0.000806528
24,15637.9,0.65845,0.53809,1.12504,0.95546,0.90839,0.94719,0.85083,0.50276,0.46713,1.0296,0.000778233,0.000778233,0.000778233
25,16173.9,0.65828,0.53813,1.12078,0.9428,0.91534,0.95642,0.85782,0.50427,0.44538,1.01847,0.000749939,0.000749939,0.000749939
